final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,fusion_source_mode,duration_seconds,distance_affected_m,agreement_pct,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,underperform_vs_p75_flag_rows,underperform_vs_rb_p75_flag_rows,low_rb_efficiency_high_rb_flag_rows,ca_underperformance_flag_rows,ml_q75_resource_underperformance_flag_rows,ml_hgb_resource_underperformance_flag_rows,ml_hgb_temporal_underperformance_flag_rows,near_handover_execution_flag_rows,near_handover_failure_flag_rows,near_rach_failure_flag_rows,near_ca_activation_change_flag_rows,strong_direct_evidence_rows,final_episode_handoff_flag,episode_priority_severity
LTE-TP-EP-000018,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:52+02:00,2025-08-26 23:45:52+02:00,1,-17.81521875462203,177.39913647424785,-17.81521875462203,177.39913647424785,147.19439294927932,40271.018450826414,42.03250378911671,10.47316131316343,10.47316131316343,108.96080341052915,98.48764209736572,0.09611861316499234,89.72,89.72,81.3,81.3,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,461.77173704402395,100.0,65.31,100.0,80.92,High,Very High,1,0,0,1,1,1,1,0,0,0,0,5,True,High
LTE-TP-EP-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,2,-17.814574723678042,177.39675112510386,-17.82409709601716,177.39650727458587,144.4246165279139,40923.366098146354,40.87799289236326,1.7817510034371196,4.952317808593412,62.464923791031794,54.34203917728209,0.049066407079081636,84.7,80.84,72.18,70.805,100.0,93.10499999999999,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,1.0,1211.8495622117193,50.0,61.07,90.78,74.44,High,Very High,2,1,2,1,2,1,1,0,0,0,0,10,True,High
LTE-TP-EP-000017,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:43+02:00,2025-08-26 23:45:43+02:00,1,-17.816382181986782,177.40067431375599,-17.816382181986782,177.40067431375599,140.62933831547522,41943.90016169486,40.57996370027506,0.897038745502052,0.897038745502052,56.475165204945824,55.57812645944377,0.01588377373039528,87.46,87.46,88.59,88.59,86.08,86.08,0,1,0,sudden_drop,normal,statistical_only_retained,0.0,332.0826673966713,0.0,70.78,73.17,71.85,High,High,0,0,0,0,0,0,0,0,0,0,0,0,True,High
LTE-TP-EP-000002,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:49+02:00,2025-08-26 23:39:50+02:00,2,-17.81062227174921,177.39586585100756,-17.820949391044888,177.39480122491562,289.9762236884399,40279.69684862522,39.13591588140486,5.0747149049581495,8.266417675592734,62.464923791031794,57.390208886073644,0.08124103251826485,85.33,78.505,77.61,69.045,94.76,90.07,0,2,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_only_retained,1.0,1153.8423741547888,0.0,63.7,79.37,70.75,High,High,2,1,1,2,2,1,0,0,0,0,0,9,True,High
LTE-TP-EP-000012,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,1,-17.814484098146274,177.39619419028253,-17.814484098146274,177.39619419028253,134.91628957100428,42229.439987345606,40.30445139579159,1.4000676405960781,1.4000676405960781,62.464923791031794,61.064856150435716,0.02241366122977786,85.91,85.91,87.47,87.47,84.0,84.0,0,1,0,rb_efficiency_underperformance,normal,statistical_only_retained,0.0,93.2248977847041,0.0,69.94,71.4,70.6,High,High,1,0,1,0,0,0,0,0,0,0,0,2,True,High
LTE-TP-EP-000009,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,1,-17.814439972684717,177.39678976027528,-17.814439972684717,177.39678976027528,147.71974955627473,41735.20558134863,40.75204866065318,4.587662608757836,4.587662608757836,62.464923791031794,57.877261182273955,0.07344381983247525,83.02,83.02,78.92,78.92,88.02,88.02,0,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_only_retained,0.0,818.8659592056638,0.0,63.53,74.82,68.61,High,High,1,1,1,1,1,0,0,0,0,0,0,5,True,High
LTE-TP-EP-000016,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:35+02:00,2025-08-26 23:45:35+02:00,1,-17.805607675193716,177.39972202015946,-17.805607675193716,177.39972202015946,149.61112979929803,39619.66892537369,42.651471837825206,0.5000980414827451,0.5000980414827451,52.77507595131767,52.274977909834924,0.009476026940142353,81.5,81.5,87.97,87.97,73.6,73.6,0,1,0,radio_limited_degradation,normal,statistical_only_retained,0.0,849.9372576091461,0.0,70.31,62.56,66.82,High,High,0,0,0,0,0,0,0,0,0,0,0,0,True,High
LTE-TP-EP-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:41:36+02:00,2025-08-26 23:41:36+02:00,1,-17.81625163747475,177.39656702997794,-17.81625163747475,177.39656702997794,298.6086892967707,41444.12221932226,39.98776774052094,0.2217225774697242,0.2217225774697242,25.267329017834722,25.045606440365,0.008775069866435952,75.68,75.68,77.39,77.39,73.6,73.6,0,1,0,radio_limited_degradation,normal,statistical_only_retained,0.0,522.1254064517873,0.0,62.38,62.56,62.46,High,High,0,0,0,0,0,0,0,0,0,0,0,0,True,Medium
LTE-TP-EP-000014,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,1,-17.809351225157737,177.40128444208003,-17.809351225157737,177.40128444208003,150.50945868626354,42156.41039850406,39.08681575007839,6.908464975527978,6.908464975527978,50.76072959744226,43.85226462191428,0.1360986146242485,74.12,74.12,72.28,72.28,76.38,76.38,0,1,0,sudden_drop,normal,statistical_only_retained,0.0,335.43715385384957,0.0,58.55,64.92,61.42,High,High,0,0,0,0,0,0,0,0,0,0,0,0,True,Medium
LTE-TP-EP-000013,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,1,-17.815810129407925,177.39798721275267,-17.815810129407925,177.39798721275267,144.86572344692485,39998.261505414855,41.194187857083094,0.6488133453149076,0.6488133453149076,20.06194492374923,19.413131578434324,0.032340500773025534,72.63,72.63,73.15,73.15,72.0,72.0,0,1,0,sudden_drop,normal,statistical_only_retained,0.0,153.0784354775803,0.0,59.2,61.2,60.1,High,High,0,0,0,0,0,0,0,0,0,0,0,0,True,Medium
